region,dac_lic,rural,network,dcfc,nacs,count
Sacramento,0,1,ChargePoint Network,0,1,5
Sacramento,0,1,ChargePoint Network,1,1,5
Sacramento,0,1,Electrify America,1,1,5
Sacramento,0,1,Other,0,1,5
Sacramento,0,1,Other,1,1,5
Sacramento,0,1,Tesla,1,1,5
Sacramento,0,1,Tesla Destination,0,1,5
Sacramento,1,0,ChargePoint Network,0,1,5
Sacramento,1,0,ChargePoint Network,1,1,5
Sacramento,1,0,Electrify America,1,1,5
Sacramento,1,0,Other,0,1,5
Sacramento,1,0,Other,1,1,5
Sacramento,1,0,Tesla,1,1,5
Sacramento,1,0,Tesla Destination,0,1,5
Sacramento,1,0,Volta,0,1,5
Sacramento,1,0,eVgo Network,1,1,5
Sacramento,1,1,ChargePoint Network,0,1,5
Sacramento,1,1,ChargePoint Network,1,1,5
Sacramento,1,1,Electrify America,1,1,5
Sacramento,1,1,Other,0,1,5
Sacramento,1,1,Tesla Destination,0,1,5
Sacramento,1,1,eVgo Network,1,1,5
San Diego,0,0,ChargePoint Network,0,1,5
San Diego,0,0,ChargePoint Network,1,1,5
San Diego,0,0,Other,0,1,5
San Diego,0,0,Other,1,1,5
San Diego,0,0,Tesla,1,1,5
San Diego,0,0,Tesla Destination,0,1,5
San Diego,0,0,Volta,0,1,5
San Diego,0,0,eVgo Network,1,1,5
San Diego,0,1,Other,0,1,5
San Diego,1,0,ChargePoint Network,0,1,5
San Diego,1,0,ChargePoint Network,1,1,5
San Diego,1,0,Electrify America,1,1,5
San Diego,1,0,Other,0,1,5
San Diego,1,0,Other,1,1,5
San Diego,1,0,Tesla,1,1,5
San Diego,1,0,Tesla Destination,0,1,5
San Diego,1,0,Volta,0,1,5
San Diego,1,0,eVgo Network,1,1,5
San Diego,1,1,ChargePoint Network,0,1,5
San Diego,1,1,Other,0,1,5
San Diego,1,1,Tesla,1,1,5
San Francisco,0,0,ChargePoint Network,0,1,5
San Francisco,0,0,ChargePoint Network,1,1,5
San Francisco,0,0,Electrify America,1,1,5
San Francisco,0,0,Other,0,1,5
San Francisco,0,0,Other,1,1,5
San Francisco,0,0,Tesla,1,1,5
San Francisco,0,0,Tesla Destination,0,1,5
San Francisco,0,0,Volta,0,1,5
San Francisco,0,0,eVgo Network,1,1,5
San Francisco,0,1,ChargePoint Network,0,1,5
San Francisco,0,1,Other,0,1,5
San Francisco,0,1,Other,1,1,5
San Francisco,0,1,Tesla Destination,0,1,5
San Francisco,0,1,eVgo Network,1,1,5
San Francisco,1,0,ChargePoint Network,0,1,5
San Francisco,1,0,ChargePoint Network,1,1,5
San Francisco,1,0,Electrify America,1,1,5
San Francisco,1,0,Other,0,1,5
San Francisco,1,0,Other,1,1,5
San Francisco,1,0,Tesla,1,1,5
San Francisco,1,0,Tesla Destination,0,1,5
San Francisco,1,0,Volta,0,1,5
San Francisco,1,0,eVgo Network,1,1,5
San Francisco,1,1,ChargePoint Network,0,1,5
San Francisco,1,1,Other,0,1,5
San Francisco,1,1,Other,1,1,5
San Francisco,1,1,Tesla Destination,0,1,5
San Francisco,1,1,eVgo Network,1,1,5
Southern Other,0,0,ChargePoint Network,0,1,5
Southern Other,0,0,ChargePoint Network,1,1,5
Southern Other,0,0,Other,0,1,5
Southern Other,0,0,Other,1,1,5
Southern Other,0,0,Tesla,1,1,5
Southern Other,0,0,Tesla Destination,0,1,5
Southern Other,0,0,Volta,0,1,5
Southern Other,0,0,eVgo Network,1,1,5
Southern Other,0,1,ChargePoint Network,0,1,5
Southern Other,0,1,Other,1,1,5
Southern Other,0,1,Tesla,1,1,5
Southern Other,0,1,Tesla Destination,0,1,5
Southern Other,1,0,ChargePoint Network,0,1,5
Southern Other,1,0,ChargePoint Network,1,1,5
Southern Other,1,0,Other,0,1,5
Southern Other,1,0,Other,1,1,5
Southern Other,1,0,Tesla,1,1,5
Southern Other,1,0,Tesla Destination,0,1,5
Southern Other,1,0,Volta,0,1,5
Southern Other,1,0,eVgo Network,1,1,5
Southern Other,1,1,ChargePoint Network,0,1,5
Southern Other,1,1,ChargePoint Network,1,1,5
Southern Other,1,1,Electrify America,1,1,5
Southern Other,1,1,Other,1,1,5
Southern Other,1,1,Tesla,1,1,5
Southern Other,1,1,eVgo Network,1,1,5
